Submission_ID	Tube_ID	Sample_ID	Type	Date_Collected	Sample_Type	gGenus	sSpecies	Group	Ploidy	PloidyGroup	RegionOrigin	CountryOrigin	Status	Comments	GenomeLineage
B03_46_Soil_07142017	B03 46 7/14 s?	B03_46_Soil	B_Soil	7/14/17	Soil	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	ln	2n	Diploid	MiddleEast	Israel	Wild	.	Outgroup
B03_61_Soil_07132017	B03.61.soil 7/13	B03_61_Soil	B_Soil	7/13/17	Soil	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	ln	2n	Diploid	MiddleEast	Israel	Wild	.	Outgroup
C01_12_Rh_07132017	C01 12 7/13 Rh	C01_12_Rh	C_Rh	7/13/17	Rhizosphere	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	UnitedStates	Cultivated	.	Outgroup
C01_12_Root_07132017	C01.12.Root 7/13/17	C01_12_Root	C_Root	7/13/17	Root	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	UnitedStates	Cultivated	.	Outgroup
C01_12_Soil_07132017	C01.12.soil 7/13	C01_12_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	UnitedStates	Cultivated	.	Outgroup
C01_15_Rh_07132017	C01 15 7/13 Rh	C01_15_Rh	C_Rh	7/13/17	Rhizosphere	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	UnitedStates	Cultivated	.	Outgroup
C01_15_Root_07132017	C01.15.Root 7/13/17	C01_15_Root	C_Root	7/13/17	Root	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	UnitedStates	Cultivated	.	Outgroup
C01_15_Soil_07132017	C01.15.soil 7/13	C01_15_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	UnitedStates	Cultivated	.	Outgroup
C01_41_Rh_07132017	C01.41.Rh* 7/13	C01_41_Rh	C_Rh	7/13/17	Rhizosphere	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	UnitedStates	Cultivated	.	Outgroup
C01_41_Root_07132017	C01.41.Root 7/13/17	C01_41_Root	C_Root	7/13/17	Root	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	UnitedStates	Cultivated	.	Outgroup
