SampleID	TimePoint	Genotype	Group	Genus	Species	Block	Treatment	SampleType	Ploidy	Status	CountryOrigin	RegionOrigin	PloidyGroup	GenomeLineage
W11_24_D_RH	1	W11	W	Triticum	Triticum_turgidum_L_subsp_paleocolchicum_A_Love_&_D_Love	24	Drought	Rhizosphere	4n	Wild	England	Europe	Polyploid	AABB
W11_25_DRH	1	W11	W	Triticum	Triticum_turgidum_L_subsp_paleocolchicum_A_Love_&_D_Love	25	Drought	Rhizosphere	4n	Wild	England	Europe	Polyploid	AABB
W11_26_W_RH	1	W11	W	Triticum	Triticum_turgidum_L_subsp_paleocolchicum_A_Love_&_D_Love	26	Control	Rhizosphere	4n	Wild	England	Europe	Polyploid	AABB
W11_27_D_RH	1	W11	W	Triticum	Triticum_turgidum_L_subsp_paleocolchicum_A_Love_&_D_Love	27	Drought	Rhizosphere	4n	Wild	England	Europe	Polyploid	AABB
W11_28_W_RH	1	W11	W	Triticum	Triticum_turgidum_L_subsp_paleocolchicum_A_Love_&_D_Love	28	Control	Rhizosphere	4n	Wild	England	Europe	Polyploid	AABB
W19_11_D_RH	1	W19	W	Triticum	Triticum_turgidum_L_subsp_dicoccoides_Korn_ex_Asch_&_Graebn_Thell	11	Drought	Rhizosphere	4n	Wild	Romania	Europe	Polyploid	AABB
W19_17_D_RH	1	W19	W	Triticum	Triticum_turgidum_L_subsp_dicoccoides_Korn_ex_Asch_&_Graebn_Thell	17	Drought	Rhizosphere	4n	Wild	Romania	Europe	Polyploid	AABB
W19_18_W_RH	1	W19	W	Triticum	Triticum_turgidum_L_subsp_dicoccoides_Korn_ex_Asch_&_Graebn_Thell	18	Control	Rhizosphere	4n	Wild	Romania	Europe	Polyploid	AABB
W19_23_W_RH	1	W19	W	Triticum	Triticum_turgidum_L_subsp_dicoccoides_Korn_ex_Asch_&_Graebn_Thell	23	Control	Rhizosphere	4n	Wild	Romania	Europe	Polyploid	AABB
W19_24_D_RH	1	W19	W	Triticum	Triticum_turgidum_L_subsp_dicoccoides_Korn_ex_Asch_&_Graebn_Thell	24	Drought	Rhizosphere	4n	Wild	Romania	Europe	Polyploid	AABB
W19_25_D_RH	1	W19	W	Triticum	Triticum_turgidum_L_subsp_dicoccoides_Korn_ex_Asch_&_Graebn_Thell	25	Drought	Rhizosphere	4n	Wild	Romania	Europe	Polyploid	AABB
W19_26_W_RH	1	W19	W	Triticum	Triticum_turgidum_L_subsp_dicoccoides_Korn_ex_Asch_&_Graebn_Thell	26	Control	Rhizosphere	4n	Wild	Romania	Europe	Polyploid	AABB
W19_27_D_RH	1	W19	W	Triticum	Triticum_turgidum_L_subsp_dicoccoides_Korn_ex_Asch_&_Graebn_Thell	27	Drought	Rhizosphere	4n	Wild	Romania	Europe	Polyploid	AABB
W19_28_W_RH	1	W19	W	Triticum	Triticum_turgidum_L_subsp_dicoccoides_Korn_ex_Asch_&_Graebn_Thell	28	Control	Rhizosphere	4n	Wild	Romania	Europe	Polyploid	AABB
W21_11_D_RH	1	W21	W	Triticum	Triticum_monococcum_L_subsp_monococcum	11	Drought	Rhizosphere	2n	Landrace	Georgia	Eurasia	Diploid	AA
W21_18_W_RH	1	W21	W	Triticum	Triticum_monococcum_L_subsp_monococcum	18	Control	Rhizosphere	2n	Landrace	Georgia	Eurasia	Diploid	AA
W21_23_W_RH	1	W21	W	Triticum	Triticum_monococcum_L_subsp_monococcum	23	Control	Rhizosphere	2n	Landrace	Georgia	Eurasia	Diploid	AA
W21_24_D_RH	1	W21	W	Triticum	Triticum_monococcum_L_subsp_monococcum	24	Drought	Rhizosphere	2n	Landrace	Georgia	Eurasia	Diploid	AA
W21_25_D_RH	1	W21	W	Triticum	Triticum_monococcum_L_subsp_monococcum	25	Drought	Rhizosphere	2n	Landrace	Georgia	Eurasia	Diploid	AA
W21_26_W_RH	1	W21	W	Triticum	Triticum_monococcum_L_subsp_monococcum	26	Control	Rhizosphere	2n	Landrace	Georgia	Eurasia	Diploid	AA
W21_27_D_RH	1	W21	W	Triticum	Triticum_monococcum_L_subsp_monococcum	27	Drought	Rhizosphere	2n	Landrace	Georgia	Eurasia	Diploid	AA
W21_28_W_RH	1	W21	W	Triticum	Triticum_monococcum_L_subsp_monococcum	28	Control	Rhizosphere	2n	Landrace	Georgia	Eurasia	Diploid	AA
W23_11_D_RH	1	W23	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	11	Drought	Rhizosphere	2n	Wild	England	Europe	Diploid	AA
W23_17_D_RH	1	W23	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	17	Drought	Rhizosphere	2n	Wild	England	Europe	Diploid	AA
W23_18_W_RH	1	W23	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	18	Control	Rhizosphere	2n	Wild	England	Europe	Diploid	AA
W23_23_W_RH	1	W23	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	23	Control	Rhizosphere	2n	Wild	England	Europe	Diploid	AA
W23_24_D_RH	1	W23	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	24	Drought	Rhizosphere	2n	Wild	England	Europe	Diploid	AA
W23_25_D_RH	1	W23	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	25	Drought	Rhizosphere	2n	Wild	England	Europe	Diploid	AA
W23_26_W_RH	1	W23	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	26	Control	Rhizosphere	2n	Wild	England	Europe	Diploid	AA
W23_27_D_RH	1	W23	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	27	Drought	Rhizosphere	2n	Wild	England	Europe	Diploid	AA
W23_28_W_RH	1	W23	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	28	Control	Rhizosphere	2n	Wild	England	Europe	Diploid	AA
W24_17_D_RH	1	W24	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	17	Drought	Rhizosphere	2n	Wild	Azerbaijan	Eurasia	Diploid	AA
W24_18_W_RH	1	W24	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	18	Control	Rhizosphere	2n	Wild	Azerbaijan	Eurasia	Diploid	AA
W24_23_W_RH	1	W24	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	23	Control	Rhizosphere	2n	Wild	Azerbaijan	Eurasia	Diploid	AA
W24_25_D_RH	1	W24	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	25	Drought	Rhizosphere	2n	Wild	Azerbaijan	Eurasia	Diploid	AA
